ID;Culture;IWAS1;IWAS2;IWAS3;IWAS4;IWAS5;IWAS6;IWAS7;IWAS8;IWAS9;IWAS10;IWAS11;IWAS12;IWAS13;IWAS14;IWAS15;IWAS16;JStress;JSatisf;SEsteem
73;1;3;1;3;3;3;3;2;2;2;3;2;3;3;1;2;3;4;5;9999
74;1;2;4;1;1;3;3;4;3;3;2;2;2;3;1;3;2;6;3;5
75;1;4;4;5;3;2;3;3;3;4;3;3;4;3;3;2;2;5;4;5
76;1;1;4;2;3;1;5;3;1;2;3;3;2;2;2;4;3;5;3;5
77;1;4;4;1;3;2;1;4;1;5;2;2;3;2;3;2;3;5;4;6
78;1;2;3;1;1;1;1;1;1;1;2;3;5;3;1;1;3;5;7;6
79;1;2;5;1;3;2;4;3;2;2;4;4;2;1;1;2;3;4;5;7
80;1;3;4;4;4;2;2;3;4;3;3;2;5;2;1;3;4;5;3;5
81;1;3;3;3;1;1;1;1;1;1;2;2;2;2;2;1;1;2;6;9
82;1;3;4;2;1;2;4;3;2;2;3;3;3;1;2;1;2;4;4;7
83;1;1;1;1;2;3;2;1;1;2;3;2;2;2;1;3;1;3;5;4
84;1;3;2;2;2;3;2;2;1;2;4;4;4;4;1;1;1;6;5;7
85;1;3;4;2;2;2;1;2;2;2;2;3;3;2;1;2;2;5;4;6
86;1;3;4;3;3;2;2;3;3;4;3;3;3;4;3;3;3;3;5;6
87;1;4;3;4;2;2;3;4;4;3;2;3;3;3;3;3;3;5;3;7
88;1;4;3;3;2;4;3;4;4;4;4;4;5;3;2;2;3;3;3;9
89;1;4;4;2;3;2;2;3;4;2;4;2;4;2;3;3;3;3;7;9
90;1;2;3;1;1;4;3;1;1;2;2;2;3;1;1;1;2;3;6;9
91;1;2;1;1;3;2;1;1;1;1;2;2;3;1;1;1;1;1;7;9
92;1;1;2;3;1;1;1;2;4;3;2;1;2;4;1;1;4;3;4;3
93;1;2;1;1;1;1;3;2;1;1;3;2;3;1;1;1;4;1;7;9
94;1;2;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;4;6;7
95;1;4;4;3;4;2;4;4;4;4;4;4;3;2;3;4;3;5;4;7
96;1;2;4;1;2;3;3;4;1;1;2;2;2;3;1;1;1;2;6;9999
97;1;4;3;1;3;3;2;2;3;3;4;2;3;2;2;2;3;2;7;8
98;1;3;5;1;3;5;5;1;1;1;3;3;3;1;1;4;2;5;3;9
99;1;3;3;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;7;8
100;1;4;5;4;4;5;4;4;4;4;4;4;4;2;2;3;3;2;5;8
101;1;1;3;2;2;1;1;3;1;1;3;3;3;3;2;2;2;3;4;8
102;1;3;3;2;2;1;3;2;1;2;2;2;2;4;1;1;2;1;7;9
103;1;2;5;1;1;1;2;2;1;2;2;1;2;3;1;1;1;1;5;8
104;1;1;4;1;4;1;3;2;2;3;4;1;2;1;2;4;3;3;7;9
105;1;1;2;4;2;3;2;1;2;1;2;3;1;1;1;1;2;7;5;6
106;1;3;3;2;2;3;2;2;1;2;1;3;4;3;2;1;2;7;6;8
107;1;4;4;1;3;1;2;1;1;1;1;1;3;1;1;1;2;2;6;6
108;1;3;3;3;2;3;3;4;4;4;4;4;4;2;1;3;2;5;2;6
109;1;3;4;3;3;3;3;3;1;1;1;2;2;3;2;3;2;4;5;7
110;1;3;3;3;3;2;3;2;2;2;4;2;3;3;3;4;2;4;5;7
111;1;2;2;2;1;1;2;1;1;1;1;1;1;2;1;2;2;6;4;7
112;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;7;6;7
113;1;1;2;1;1;3;2;2;1;1;1;2;1;2;1;1;1;4;4;5
114;1;3;2;4;2;5;4;4;1;1;3;4;4;2;1;3;1;5;4;8
115;1;2;4;3;4;3;4;5;3;4;4;5;4;4;2;4;3;6;3;6
116;1;1;4;1;3;1;4;4;2;4;4;3;1;1;4;4;2;7;1;7
117;1;2;1;2;1;2;2;3;3;3;3;3;3;3;1;2;2;5;5;6
118;1;3;4;4;3;3;4;3;3;3;4;4;4;3;4;3;3;6;4;7
119;1;2;5;4;2;2;4;4;1;2;4;4;4;1;2;2;4;4;5;9
120;1;2;4;3;1;1;5;5;1;1;1;1;1;3;3;2;1;7;2;3
121;1;3;3;4;3;3;4;4;3;3;4;4;3;2;2;3;2;4;4;8
122;1;5;5;5;5;3;5;5;1;5;5;5;3;5;5;3;5;6;1;6
123;1;4;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1;4;5;7
124;1;3;4;1;2;1;4;4;4;3;3;4;4;1;3;4;4;5;4;8
125;1;3;3;2;4;1;2;1;2;3;4;2;3;1;1;3;2;4;6;7
126;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;5;9
127;1;3;4;2;1;3;5;3;1;1;3;3;5;1;1;1;1;1;7;9
128;1;4;4;2;1;2;4;4;4;4;4;4;4;1;2;3;3;4;3;4
129;1;2;3;1;2;2;2;1;2;2;2;2;2;2;1;2;1;2;6;8
130;1;4;4;4;4;3;4;4;3;3;4;4;4;4;3;3;3;3;7;8
131;1;2;3;2;1;1;1;3;3;4;2;1;1;1;3;2;1;3;3;6
132;1;3;4;1;1;2;4;4;4;3;2;2;4;3;1;2;3;5;6;7
133;1;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;3;3;6
134;1;4;4;1;3;1;3;2;4;4;4;2;2;3;2;2;4;4;5;8
135;1;4;4;4;3;1;3;3;4;4;4;4;3;2;3;3;4;4;6;7
136;1;3;4;1;1;3;3;1;1;1;3;3;3;3;1;3;1;2;6;7
137;1;4;4;2;2;3;2;4;4;4;4;4;4;4;4;3;4;5;6;5
138;1;2;4;1;2;1;4;2;4;2;4;3;5;2;2;1;4;4;5;4
139;1;3;4;4;4;1;4;5;3;5;5;5;5;5;5;5;5;7;4;7
140;1;4;5;1;2;2;5;4;3;4;3;5;3;1;1;1;4;6;6;5
141;1;1;4;3;3;5;2;2;2;2;4;3;2;3;1;1;1;6;9999;9999
142;1;5;5;5;5;1;4;5;1;5;5;5;2;5;4;4;4;6;5;9
143;1;3;4;4;2;3;3;4;1;4;3;4;3;4;1;3;4;6;2;6
144;1;3;2;2;1;2;1;1;1;1;1;1;3;2;1;1;1;2;6;7
145;1;2;4;2;1;1;1;2;3;3;2;1;2;2;1;1;2;3;5;7
